NEONsite,FluxnetSite,location,month,GPP_2001,GPP_2002,GPP_2003,GPP_2004,GPP_2005,GPP_2006,GPP_2007,GPP_2008,GPP_2009,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,NEE_2001,NEE_2002,NEE_2003,NEE_2004,NEE_2005,NEE_2006,NEE_2007,NEE_2008,NEE_2009,NEE_2010,NEE_2011,NEE_2012,NEE_2013,NEE_2014,NEE_2015,TER_2001,TER_2002,TER_2003,TER_2004,TER_2005,TER_2006,TER_2007,TER_2008,TER_2009,TER_2010,TER_2011,TER_2012,TER_2013,TER_2014,TER_2015
ABBY,US-xAB,Abby Road NEON,11,1.45067945,2.162206312,1.510425257,1.796153975,1.798947402,1.083074231,1.679142323,2.267339688,1.410646707,1.333079503,1.547114251,1.518173062,1.710909295,1.345095065,1.583804289,0.377127999,0.050783915,0.287064089,0.142851801,0.095358892,0.453930263,0.155583743,0.09786394,0.200991603,0.279651535,0.133716685,0.292636575,0.115497686,0.252935786,0.1719916,1.849036264,2.178961178,1.774144435,1.900436727,1.852668221,1.543560732,1.79419564,2.343810721,1.604254047,1.594721764,1.632369785,1.805682828,1.807074712,1.55826272,1.72045023
ABBY,US-xAB,Abby Road NEON,12,0.954872834,1.060455332,0.744320935,1.296625085,0.805438697,0.906888328,0.684716189,0.734062402,0.892279217,0.72471833,1.236342575,0.775343599,1.348982326,1.077685438,0.816341087,0.398569655,0.37813232,0.469157944,0.339784609,0.426253836,0.41729691,0.480205669,0.47224947,0.327841671,0.43202057,0.23052586,0.454140366,0.236438523,0.39470037,0.44764649,1.330860563,1.412725108,1.192365942,1.642987687,1.208805967,1.30531297,1.142348937,1.17205622,1.190780841,1.15006673,1.419329885,1.221522409,1.555600246,1.478445065,1.251312471
BART,US-xBR,Bartlett Experimental Forest NEON,1,0.090713191,0.15745874,0.039705424,0.089671274,0.077098553,0.219248233,0.183787094,0.137338759,0.077002987,0.082342648,0.095018016,0.122367551,0.155307157,0.081589418,0.064891846,0.698798502,0.75232203,0.629451707,0.618843548,0.664296823,0.754678674,0.699342987,0.728902491,0.622973198,0.687337126,0.671222454,0.679506006,0.662706397,0.628599183,0.652262584,1.41E+36,0.77716362,0.512852267,0.56390339,0.603911196,0.850582747,0.762679969,0.73293083,0.554732107,0.635007748,0.629683686,0.679000671,0.677575069,0.583111924,0.568314954
BART,US-xBR,Bartlett Experimental Forest NEON,2,0.069578644,0.213926086,0.097357737,0.124168014,0.182784688,0.203929307,0.065544649,0.113844197,0.090202903,0.146750467,0.172800903,0.248594988,0.096165117,0.108633142,0.042602312,0.630954136,0.632891958,0.592484238,0.57460707,0.615958128,0.591058447,0.530007662,0.650509898,0.590879357,0.560518037,0.535567597,0.59197787,0.577928646,0.566571001,0.511163758,0.589367829,0.784537836,0.584489791,0.645575175,0.712789165,0.763520805,0.515466452,0.667866043,0.597821481,0.67797733,0.659323184,0.812889856,0.610020435,0.593209394,0.450967078
BART,US-xBR,Bartlett Experimental Forest NEON,3,0.242847567,0.585245342,0.371001089,0.370019631,0.29336675,0.53782311,0.454480692,0.214517169,0.470953602,0.800495457,0.273399217,1.18228752,0.417595496,0.190852807,0.161630291,0.755998222,0.522856188,0.630616565,0.58687837,0.584717277,0.453561812,0.529824037,0.663931252,0.549034689,0.488124189,0.583988054,0.345875337,0.562914581,0.448212045,0.528048034,0.875102654,1.054121763,0.904661046,0.923398923,0.802240875,0.97179611,0.9173816,0.795288943,0.969672953,1.220029421,0.816231966,1.542287625,0.93174193,0.657100125,0.666946936
BART,US-xBR,Bartlett Experimental Forest NEON,4,1.3764783,1.742764361,1.460400907,1.497173736,1.809264239,2.013475731,1.400385493,1.884081752,1.895537569,2.298790433,1.278854695,1.694868656,1.59656579,1.461533065,1.591563188,0.195620603,0.053763835,0.205973477,0.121268783,0.045621454,-0.135718266,0.383626031,-0.004133089,-0.067866762,-0.156580343,0.243067264,-0.096962352,0.018833316,0.173063719,0.194185559,1.53112929,1.784726304,1.613639537,1.615369203,1.810441092,1.92640599,1.686936218,1.823447313,1.809585498,2.127011744,1.461570332,1.692737905,1.61333401,1.559176646,1.708609619
BART,US-xBR,Bartlett Experimental Forest NEON,5,5.797643913,4.703193847,3.939978696,5.980733634,3.503264868,4.294977125,5.735034007,5.610772318,5.630403211,6.896234502,4.728272129,5.672482849,5.789782385,4.377454899,5.736470391,-2.382306976,-1.769098668,-0.98512617,-2.41482678,-0.56064891,-1.142800427,-2.330543165,-2.515884474,-2.032892406,-3.172002132,-1.413552602,-2.33834522,-2.508506142,-1.194482376,-2.301349513,3.544471534,3.017597123,2.964171971,3.636461794,2.826283415,3.124091283,3.484035334,3.224801333,3.507635601,3.782010919,3.249202265,3.467345871,3.41457005,3.121984104,3.501446243
BART,US-xBR,Bartlett Experimental Forest NEON,6,8.353239975,8.027841123,8.346320457,8.588625168,8.305321919,7.542734291,8.470891982,8.167582227,7.656494792,7.976606989,8.21465573,8.344490544,7.782723285,8.178681985,7.957084336,-3.798661375,-3.577170753,-3.922318097,-4.291936547,-3.70227782,-3.118092526,-3.967581715,-3.531782046,-3.251888031,-3.505968724,-3.690878625,-3.900794827,-3.29845119,-3.785704781,-3.765918959,4.516286491,4.446506283,4.458482982,4.324371227,4.638719014,4.457036659,4.481629891,4.595742854,4.334747027,4.432945201,4.533541502,4.4803375,4.463707483,4.445150939,4.212912487
BART,US-xBR,Bartlett Experimental Forest NEON,7,8.499984885,8.84968514,7.673916525,7.825415118,9.037478494,8.387877097,8.427186323,8.168154822,7.947641808,8.57769375,8.519578585,8.428611039,7.844993638,8.144842665,8.203094329,-3.935563358,-4.051336848,-2.925514826,-3.135440074,-4.311321662,-3.74841775,-3.765227833,-3.428103423,-3.340751246,-3.770034688,-3.895448328,-3.865667704,-3.198283985,-3.630607015,-3.772931261,4.576073496,4.80189576,4.69450127,4.632228545,4.814343477,4.737978444,4.67520606,4.716262544,4.538031657,4.814553205,4.734821002,4.685240059,4.689121067,4.569277327,4.533118025
BART,US-xBR,Bartlett Experimental Forest NEON,8,8.135850932,8.243895156,7.266636519,7.409115674,7.700018101,7.099407251,7.733719313,7.351865478,7.774965917,7.664908354,7.398963397,7.320474491,7.252266411,7.490924243,7.528968023,-3.525264062,-3.601455251,-2.783559137,-3.021731216,-3.178927842,-2.985855332,-3.440261951,-3.094114848,-3.459198675,-3.222976996,-2.915741391,-3.099943106,-3.163215998,-3.095204706,-3.06806841,4.643266733,4.697331248,4.434066114,4.367594144,4.526161259,4.151018113,4.358417561,4.294902063,4.394368359,4.491999808,4.442601347,4.356786395,4.187621596,4.416529916,4.475177942
