site,code,location,month,GPP_2001,GPP_2002,GPP_2003,GPP_2004,GPP_2005,GPP_2006,GPP_2007,GPP_2008,GPP_2009,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,NEE_2001,NEE_2002,NEE_2003,NEE_2004,NEE_2005,NEE_2006,NEE_2007,NEE_2008,NEE_2010,NEE_2011,NEE_2012,NEE_2013,NEE_2014,NEE_2015,TER_2001,TER_2002,TER_2003,TER_2004,TER_2005,TER_2006,TER_2007,TER_2008,TER_2009,TER_2010,TER_2011,TER_2012,TER_2013,TER_2014,TER_2015
ABBY,US-xAB,Abby Road NEON,11,1.604416061,2.468279078,1.734627675,1.812891622,1.899026818,1.15114331,1.832738392,2.364667342,1.574729772,1.402442679,1.483077209,1.528173706,1.706381449,1.428424717,1.649414976,0.351564902,-0.074128947,0.257813109,0.131875696,0.070094,0.421065698,0.090008036,0.024589658,0.280074049,0.164282476,0.303190243,0.114807022,0.275730633,0.171894759,1.934138883,2.305074089,1.926977344,1.891678971,1.916470796,1.552398031,1.846083912,2.374531156,1.707423495,1.621637709,1.55957177,1.825205373,1.7872366,1.643514155,1.769093787
ABBY,US-xAB,Abby Road NEON,12,1.056976254,1.138038962,0.783520088,1.507300069,0.837385396,1.053593847,0.787430895,0.617346495,1.008798523,0.733996314,1.252240255,0.750809874,1.414896606,1.198263948,0.853954482,0.415522126,0.354732355,0.524571857,0.346913032,0.45811577,0.407248414,0.49376119,0.581162302,0.466732492,0.26339823,0.501358889,0.274690441,0.41778472,0.488039729,1.421858961,1.427669776,1.255519643,1.831840465,1.23410877,1.388994501,1.213329302,1.102591079,1.281916486,1.186059224,1.463193679,1.183845845,1.63298412,1.60010416,1.263366092
BART,US-xBR,Bartlett Experimental Forest NEON,1,0.095290055,0.157242656,0.030461195,0.083902923,0.055125423,0.223566055,0.155176693,0.177487364,0.112127124,0.111971129,0.108081215,0.083929151,0.172911279,0.075237498,0.056515971,0.789127077,0.868588713,0.715522335,0.677773779,0.761511354,0.857357971,0.789262782,0.853728442,0.794395833,0.764880102,0.823242979,0.770965567,0.730287845,0.732102865,1.41E+36,0.897041525,0.600664305,0.640127821,0.682218352,0.963162437,0.828556221,0.914166099,0.713423627,0.816632461,0.791402531,0.769826426,0.786571101,0.705593054,0.665784079
BART,US-xBR,Bartlett Experimental Forest NEON,2,0.05385977,0.230581698,0.108324111,0.129918996,0.228017467,0.257725288,0.054657889,0.164912276,0.07797755,0.150990731,0.14266063,0.254467864,0.074592576,0.125136281,0.034750216,0.718022189,0.738988553,0.65092871,0.665523233,0.655809221,0.663573068,0.594605142,0.717218236,0.623700644,0.56723412,0.703979447,0.654313747,0.638799259,0.563867577,0.703620507,0.919525255,0.678795287,0.798223885,0.861549682,0.937496352,0.639474201,0.865628494,0.735713262,0.821829653,0.731142265,0.963249644,0.710645131,0.741759677,0.563890166
BART,US-xBR,Bartlett Experimental Forest NEON,3,0.221917088,0.534069792,0.379983498,0.352998139,0.280146385,0.530696062,0.551732866,0.219171929,0.529910186,0.784506178,0.27504881,1.09391696,0.462456414,0.175631449,0.13445408,0.833000425,0.687931751,0.695573883,0.670183007,0.70539564,0.511438663,0.587708833,0.759477046,0.591342109,0.635387149,0.511929759,0.64555623,0.481796845,0.579235975,0.985103003,1.143457962,1.023635947,1.020561014,0.909096106,1.046129264,1.103843625,0.907667359,1.132306184,1.318406064,0.902774623,1.642022869,1.067695755,0.725993173,0.759744615
BART,US-xBR,Bartlett Experimental Forest NEON,4,1.34705747,1.571378928,1.349120702,1.352258077,1.843110144,1.876573456,1.301963472,1.805062321,1.820481486,2.220138507,1.306843136,1.489337204,1.695346542,1.419480121,1.833099973,0.217433422,0.15772142,0.28210795,0.222802146,0.071244704,-0.069480368,0.520400118,0.199530418,-0.074448509,0.254752405,0.026595373,0.019968283,0.245098781,0.187332952,1.602329897,1.768290104,1.671294089,1.672259964,1.910260534,2.020125941,1.739760757,1.899793826,1.843270615,2.193665291,1.492825468,1.712099912,1.736637675,1.654029388,1.878260132
BART,US-xBR,Bartlett Experimental Forest NEON,5,6.148975177,5.050151723,3.760500863,6.421432621,3.529282478,4.510447473,5.974961455,5.920795622,5.878255219,7.301626102,4.601285825,5.975973497,6.306408069,4.503167277,6.124623992,-2.73840936,-2.197110866,-0.927239457,-2.890194526,-0.613719242,-1.308009607,-2.533313776,-2.904832622,-3.564620084,-1.305619208,-2.608683468,-3.062921958,-1.362272127,-2.527817391,3.571686366,3.011238091,2.896142088,3.664893361,2.802873945,3.111996788,3.525971389,3.20757781,3.477024907,3.806777531,3.234019213,3.478195586,3.520471424,3.125509567,3.607957546
BART,US-xBR,Bartlett Experimental Forest NEON,6,8.401890003,8.181379723,8.485426851,8.823157623,8.417052162,7.686000137,8.68533595,8.463044162,7.842096482,8.322749203,8.53405053,8.726638228,7.896770821,8.460630548,8.284375847,-4.064628284,-3.964713346,-4.28876518,-4.793584149,-4.071471852,-3.474766474,-4.508665255,-3.988075836,-4.121837305,-4.132383264,-4.437670037,-3.534489482,-4.235956978,-4.252141892,4.401836526,4.369247993,4.423732968,4.24138245,4.50877154,4.278871817,4.384617486,4.490732,4.211335799,4.341029412,4.40836192,4.339822056,4.358529926,4.444313102,4.152201075
BART,US-xBR,Bartlett Experimental Forest NEON,7,8.64499615,9.259214507,7.713498985,8.077230014,9.151302857,8.595673673,8.632246448,8.374518987,7.861511574,8.8417498,8.716219912,8.713154851,7.981059781,8.280456292,8.521134307,-4.362223159,-4.701874981,-3.058504026,-3.432530401,-4.724347606,-4.201430824,-4.165278678,-3.739368481,-4.2904262,-4.242287885,-4.260492006,-3.565208839,-3.851130768,-4.167645624,4.433791769,4.649625622,4.526685495,4.494517776,4.619766472,4.54895927,4.54247321,4.550862732,4.406208119,4.649218882,4.625249017,4.56243954,4.489816102,4.440054847,4.398285778
BART,US-xBR,Bartlett Experimental Forest NEON,8,8.340957168,8.631900931,7.401544997,7.480982007,7.896599298,7.329309495,7.944592526,7.560851892,8.122254666,7.919387722,7.814684754,7.569838863,7.699817196,7.907562835,7.980674912,-3.936581831,-4.16645304,-3.043553186,-3.169288998,-3.454955727,-3.402445221,-3.740165911,-3.522517711,-3.645829164,-3.345360066,-3.505524756,-3.642923264,-3.643979603,-3.581113211,4.503923727,4.627074896,4.26716367,4.209212477,4.37790171,4.042423466,4.274108156,4.10375217,4.287737631,4.397230829,4.32996504,4.203827043,4.122838408,4.332299815,4.37996514
